Context Length,Document Depth,Score
510,0.0,5
509,10.0,5
509,20.0,5
509,30.0,5
509,40.0,5
509,60.0,5
509,70.0,5
509,80.0,5
509,90.0,5
510,100.0,5
1021,0.0,5
1020,10.0,5
1020,20.0,5
1020,30.0,5
1020,40.0,5
1020,60.0,5
1020,70.0,5
1020,80.0,5
1020,90.0,5
1021,100.0,5
1533,0.0,4
1532,10.0,3
1532,20.0,4
1532,30.0,4
1532,40.0,5
1532,60.0,5
1532,70.0,5
1532,80.0,5
1532,90.0,5
1533,100.0,5
2046,0.0,0
2045,10.0,0
2045,20.0,0
2045,30.0,0
2045,40.0,4
2045,60.0,4
2045,70.0,5
2045,80.0,5
2045,90.0,5
2046,100.0,5
2557,0.0,0
2556,10.0,0
2556,20.0,0
2556,30.0,0
2556,40.0,0
2556,60.0,3
2556,70.0,5
2556,80.0,5
2556,90.0,5
2557,100.0,5
3069,0.0,0
3068,10.0,0
3068,20.0,0
3068,30.0,0
3068,40.0,0
3068,60.0,0
3068,70.0,4
3068,80.0,5
3068,90.0,5
3069,100.0,5
3582,0.0,0
3581,10.0,0
3581,20.0,0
3581,30.0,0
3581,40.0,0
3581,60.0,0
3581,70.0,0
3581,80.0,4
3581,90.0,5
3582,100.0,5
4093,0.0,0
4092,10.0,0
4092,20.0,0
4092,30.0,0
4092,40.0,0
4092,60.0,0
4092,70.0,1
4092,80.0,4
4092,90.0,5
4093,100.0,5
4605,0.0,0
4604,10.0,0
4604,20.0,0
4604,30.0,0
4604,40.0,0
4604,60.0,0
4604,70.0,0
4604,80.0,4
4604,90.0,5
4605,100.0,5
5118,0.0,0
5117,10.0,0
5117,20.0,0
5117,30.0,0
5117,40.0,0
5117,60.0,0
5117,70.0,0
5117,80.0,1
5117,90.0,5
5118,100.0,5
5629,0.0,0
5628,10.0,0
5628,20.0,0
5628,30.0,0
5628,40.0,0
5628,60.0,0
5628,70.0,0
5628,80.0,1
5628,90.0,5
5629,100.0,5
6141,0.0,0
6140,10.0,0
6140,20.0,0
6140,30.0,0
6140,40.0,0
6140,60.0,0
6140,70.0,0
6140,80.0,0
6140,90.0,5
6141,100.0,5
6642,0.0,0
6641,10.0,0
6641,20.0,0
6641,30.0,0
6641,40.0,0
6641,60.0,0
6641,70.0,0
6641,80.0,0
6641,90.0,5
6642,100.0,5
7146,0.0,0
7145,10.0,0
7145,20.0,0
7145,30.0,0
7145,40.0,0
7145,60.0,0
7145,70.0,0
7145,80.0,0
7145,90.0,5
7146,100.0,5
7626,0.0,0
7625,10.0,0
7625,20.0,0
7625,30.0,0
7625,40.0,0
7625,60.0,0
7625,70.0,0
7625,80.0,0
7625,90.0,5
7626,100.0,5
8130,0.0,0
8129,10.0,0
8129,20.0,0
8129,30.0,0
8129,40.0,0
8129,60.0,0
8129,70.0,0
8129,80.0,0
8129,90.0,5
8130,100.0,5
8610,0.0,0
8609,10.0,0
8609,20.0,0
8609,30.0,0
8609,40.0,0
8609,60.0,0
8609,70.0,0
8609,80.0,0
8609,90.0,4
8610,100.0,5
9114,0.0,0
9113,10.0,0
9113,20.0,0
9113,30.0,0
9113,40.0,0
9113,60.0,0
9113,70.0,0
9113,80.0,0
9113,90.0,4
9114,100.0,5
9594,0.0,0
9593,10.0,0
9593,20.0,0
9593,30.0,0
9593,40.0,0
9593,60.0,0
9593,70.0,0
9593,80.0,0
9593,90.0,4
9594,100.0,5
10098,0.0,0
10097,10.0,0
10097,20.0,0
10097,30.0,0
10097,40.0,0
10097,60.0,0
10097,70.0,0
10097,80.0,0
10097,90.0,4
10098,100.0,5
10578,0.0,0
10577,10.0,0
10577,20.0,0
10577,30.0,0
10577,40.0,0
10577,60.0,0
10577,70.0,0
10577,80.0,0
10577,90.0,3
10578,100.0,5
11082,0.0,0
11081,10.0,0
11081,20.0,0
11081,30.0,0
11081,40.0,0
11081,60.0,0
11081,70.0,0
11081,80.0,0
11081,90.0,2
11082,100.0,5
11562,0.0,0
11561,10.0,0
11561,20.0,0
11561,30.0,0
11561,40.0,0
11561,60.0,0
11561,70.0,0
11561,80.0,0
11561,90.0,0
11562,100.0,5
12066,0.0,0
12065,10.0,0
12065,20.0,0
12065,30.0,0
12065,40.0,0
12065,60.0,0
12065,70.0,0
12065,80.0,0
12065,90.0,0
12066,100.0,5
12546,0.0,0
12545,10.0,0
12545,20.0,0
12545,30.0,0
12545,40.0,0
12545,60.0,0
12545,70.0,0
12545,80.0,0
12545,90.0,0
12546,100.0,5
13050,0.0,0
13049,10.0,0
13049,20.0,0
13049,30.0,0
13049,40.0,0
13049,60.0,0
13049,70.0,0
13049,80.0,0
13049,90.0,0
13050,100.0,5
13530,0.0,0
13529,10.0,0
13529,20.0,0
13529,30.0,0
13529,40.0,0
13529,60.0,0
13529,70.0,0
13529,80.0,0
13529,90.0,0
13530,100.0,5
14034,0.0,0
14033,10.0,0
14033,20.0,0
14033,30.0,0
14033,40.0,0
14033,60.0,0
14033,70.0,0
14033,80.0,0
14033,90.0,0
14034,100.0,5
14514,0.0,0
14513,10.0,0
14513,20.0,0
14513,30.0,0
14513,40.0,0
14513,60.0,0
14513,70.0,0
14513,80.0,0
14513,90.0,0
14514,100.0,5
15018,0.0,0
15017,10.0,0
15017,20.0,0
15017,30.0,0
15017,40.0,0
15017,60.0,0
15017,70.0,0
15017,80.0,0
15017,90.0,0
15018,100.0,5
15498,0.0,0
15497,10.0,0
15497,20.0,0
15497,30.0,0
15497,40.0,0
15497,60.0,0
15497,70.0,0
15497,80.0,0
15497,90.0,0
15498,100.0,5
