Context Length,Document Depth,Score
1803,0.0,5
1803,10.0,5
1803,20.0,5
1803,30.0,5
1803,40.0,5
1803,60.0,5
1803,70.0,5
1803,80.0,5
1803,90.0,5
1803,100.0,5
2827,0.0,5
2827,10.0,5
2827,20.0,5
2827,30.0,5
2827,40.0,5
2827,60.0,5
2827,70.0,5
2827,80.0,5
2827,90.0,5
2827,100.0,5
3815,0.0,5
3815,10.0,5
3815,20.0,5
3815,30.0,5
3815,40.0,5
3815,60.0,5
3815,70.0,5
3815,80.0,5
3815,90.0,5
3815,100.0,5
4751,0.0,5
4751,10.0,5
4751,20.0,5
4751,30.0,5
4751,40.0,5
4751,60.0,5
4751,70.0,5
4751,80.0,5
4751,90.0,5
4751,100.0,5
5711,0.0,5
5711,10.0,5
5711,20.0,5
5711,30.0,5
5711,40.0,5
5711,60.0,5
5711,70.0,5
5711,80.0,5
5711,90.0,5
5711,100.0,5
6647,0.0,5
6647,10.0,5
6647,20.0,5
6647,30.0,5
6647,40.0,5
6647,60.0,5
6647,70.0,5
6647,80.0,5
6647,90.0,5
6647,100.0,5
7583,0.0,5
7583,10.0,5
7583,20.0,5
7583,30.0,5
7583,40.0,5
7583,60.0,5
7583,70.0,5
7583,80.0,5
7583,90.0,5
7583,100.0,5
8543,0.0,5
8543,10.0,5
8543,20.0,5
8543,30.0,5
8543,40.0,5
8543,60.0,5
8543,70.0,5
8543,80.0,5
8543,90.0,5
8543,100.0,5
9479,0.0,5
9479,10.0,5
9479,20.0,5
9479,30.0,5
9479,40.0,5
9479,60.0,5
9479,70.0,5
9479,80.0,5
9479,90.0,5
9479,100.0,5
10439,0.0,5
10439,10.0,5
10439,20.0,5
10439,30.0,5
10439,40.0,5
10439,60.0,5
10439,70.0,5
10439,80.0,5
10439,90.0,5
10439,100.0,5
11375,0.0,5
11375,10.0,5
11375,20.0,5
11375,30.0,5
11375,40.0,5
11375,60.0,5
11375,70.0,5
11375,80.0,5
11375,90.0,5
11375,100.0,5
12311,0.0,5
12311,10.0,5
12311,20.0,5
12311,30.0,5
12311,40.0,5
12311,60.0,5
12311,70.0,5
12311,80.0,5
12311,90.0,5
12311,100.0,5
13271,0.0,5
13271,10.0,5
13271,20.0,5
13271,30.0,5
13271,40.0,5
13271,60.0,5
13271,70.0,5
13271,80.0,5
13271,90.0,5
13271,100.0,5
14207,0.0,5
14207,10.0,5
14207,20.0,5
14207,30.0,5
14207,40.0,5
14207,60.0,5
14207,70.0,5
14207,80.0,5
14207,90.0,5
14207,100.0,5
15143,0.0,5
15143,10.0,5
15143,20.0,5
15143,30.0,5
15143,40.0,5
15143,60.0,5
15143,70.0,5
15143,80.0,5
15143,90.0,5
15143,100.0,5
16103,0.0,5
16103,10.0,5
16103,20.0,5
16103,30.0,5
16103,40.0,5
16103,60.0,5
16103,70.0,5
16103,80.0,5
