Context Length,Document Depth,Score
774,0.0,5
774,10.0,5
774,20.0,5
774,30.0,5
774,40.0,5
774,60.0,5
774,70.0,5
774,80.0,5
774,90.0,5
774,100.0,5
1798,0.0,5
1798,10.0,5
1798,20.0,5
1798,30.0,5
1798,40.0,5
1798,60.0,5
1798,70.0,5
1798,80.0,5
1798,90.0,5
1798,100.0,5
2822,0.0,5
2822,10.0,5
2822,20.0,5
2822,30.0,5
2822,40.0,5
2822,60.0,5
2822,70.0,5
2822,80.0,5
2822,90.0,5
2822,100.0,5
3846,0.0,5
3846,10.0,5
3846,20.0,5
3846,30.0,5
3846,40.0,5
3846,60.0,5
3846,70.0,5
3846,80.0,5
3846,90.0,5
3846,100.0,5
4870,0.0,5
4870,10.0,5
4870,20.0,5
4870,30.0,5
4870,40.0,5
4870,60.0,5
4870,70.0,5
4870,80.0,5
4870,90.0,5
4870,100.0,5
5894,0.0,5
5894,10.0,5
5894,20.0,5
5894,30.0,5
5894,40.0,5
5894,60.0,5
5894,70.0,5
5894,80.0,5
5894,90.0,5
5894,100.0,5
6900,0.0,5
6900,10.0,5
6900,20.0,5
6900,30.0,5
6900,40.0,5
6900,60.0,5
6900,70.0,5
6900,80.0,5
6900,90.0,5
6900,100.0,5
7884,0.0,5
7884,10.0,5
7884,20.0,5
7884,30.0,5
7884,40.0,5
7884,60.0,5
7884,70.0,5
7884,80.0,5
7884,90.0,5
7884,100.0,5
8868,0.0,5
8868,10.0,5
8868,20.0,5
8868,30.0,5
8868,40.0,5
8868,60.0,5
8868,70.0,5
8868,80.0,5
8868,90.0,5
8868,100.0,5
9852,0.0,5
9852,10.0,5
9852,20.0,5
9852,30.0,5
9852,40.0,5
9852,60.0,5
9852,70.0,5
9852,80.0,5
9852,90.0,5
9852,100.0,5
10836,0.0,5
10836,10.0,5
10836,20.0,5
10836,30.0,5
10836,40.0,5
10836,60.0,5
10836,70.0,5
10836,80.0,5
10836,90.0,5
10836,100.0,5
11820,0.0,5
11820,10.0,5
11820,20.0,5
11820,30.0,5
11820,40.0,5
11820,60.0,5
11820,70.0,5
11820,80.0,5
11820,90.0,5
11820,100.0,5
12804,0.0,5
12804,10.0,5
12804,20.0,5
12804,30.0,5
12804,40.0,5
12804,60.0,5
12804,70.0,5
12804,80.0,5
12804,90.0,5
12804,100.0,5
13788,0.0,5
13788,10.0,5
13788,20.0,5
13788,30.0,5
13788,40.0,5
13788,60.0,5
13788,70.0,5
13788,80.0,5
13788,90.0,5
13788,100.0,5
14772,0.0,5
14772,10.0,5
14772,20.0,5
14772,30.0,5
14772,40.0,5
14772,60.0,5
14772,70.0,5
14772,80.0,5
14772,90.0,5
14772,100.0,5
15756,0.0,5
15756,10.0,5
15756,20.0,5
15756,30.0,5
15756,40.0,5
15756,60.0,5
15756,70.0,5
15756,80.0,5
15756,90.0,5
15756,100.0,5
16740,0.0,5
16740,10.0,5
16740,20.0,5
16740,30.0,5
16740,40.0,5
16740,60.0,5
16740,70.0,5
16740,80.0,5
16740,90.0,5
16740,100.0,5
17724,0.0,5
17724,10.0,5
17724,20.0,5
17724,30.0,5
17724,40.0,5
17724,60.0,5
17724,70.0,5
17724,80.0,5
17724,90.0,5
17724,100.0,5
18684,0.0,4
18684,10.0,5
18684,20.0,5
18684,30.0,5
18684,40.0,5
18684,60.0,5
18684,70.0,5
18684,80.0,5
18684,90.0,5
18684,100.0,5
19668,0.0,2
19668,10.0,5
19668,20.0,5
19668,30.0,2
19668,40.0,2
19668,60.0,3
19668,70.0,2
19668,80.0,5
19668,90.0,5
19668,100.0,5
20652,0.0,0
20652,10.0,2
20652,20.0,1
20652,30.0,0
20652,40.0,0
20652,60.0,0
20652,70.0,0
20652,80.0,2
20652,90.0,5
20652,100.0,5
21636,0.0,0
21636,10.0,1
21636,20.0,0
21636,30.0,0
21636,40.0,0
21636,60.0,0
21636,70.0,3
21636,80.0,4
21636,90.0,5
21636,100.0,5
22620,0.0,0
22620,10.0,0
22620,20.0,0
22620,30.0,0
22620,40.0,0
22620,60.0,0
22620,70.0,0
22620,80.0,3
22620,90.0,5
22620,100.0,5
23604,0.0,0
23604,10.0,0
23604,20.0,0
23604,30.0,0
23604,40.0,0
23604,60.0,0
23604,70.0,0
23604,80.0,1
23604,90.0,5
23604,100.0,5
24588,0.0,0
24588,10.0,0
24588,20.0,0
24588,30.0,0
24588,40.0,0
24588,60.0,0
24588,70.0,0
24588,80.0,1
24588,90.0,4
24588,100.0,5
25572,0.0,0
25572,10.0,0
25572,20.0,0
25572,30.0,0
25572,40.0,0
25572,60.0,0
25572,70.0,0
25572,80.0,0
25572,90.0,2
25572,100.0,5
26556,0.0,0
26556,10.0,0
26556,20.0,0
26556,30.0,0
26556,40.0,0
26556,60.0,0
26556,70.0,0
26556,80.0,0
26556,90.0,1
26556,100.0,5
27540,0.0,0
27540,10.0,0
27540,20.0,0
27540,30.0,0
27540,40.0,0
27540,60.0,0
27540,70.0,0
27540,80.0,0
27540,90.0,0
27540,100.0,5
28524,0.0,0
28524,10.0,0
28524,20.0,0
28524,30.0,0
28524,40.0,0
28524,60.0,0
28524,70.0,0
28524,80.0,0
28524,90.0,0
28524,100.0,5
29508,0.0,0
29508,10.0,0
29508,20.0,0
29508,30.0,0
29508,40.0,0
29508,60.0,0
29508,70.0,0
29508,80.0,0
29508,90.0,0
29508,100.0,5
30492,0.0,0
30492,10.0,0
30492,20.0,0
30492,30.0,0
30492,40.0,0
30492,60.0,0
30492,70.0,0
30492,80.0,0
30492,90.0,0
30492,100.0,5
31476,0.0,0
31476,10.0,0
31476,20.0,0
31476,30.0,0
31476,40.0,0
31476,60.0,0
31476,70.0,0
31476,80.0,0
31476,90.0,0
31476,100.0,4
