Final Results Summary:
Total Tests Run: 450
Total Tests Passed: 137
Overall Score: 30.44%

Detailed Results by Context Length and Depth:
Context Length  Document Depth
15756           0.0               5.0
                10.0              5.0
                20.0              5.0
                30.0              5.0
                40.0              5.0
                60.0              5.0
                70.0              5.0
                80.0              5.0
                90.0              5.0
                100.0             5.0
17724           0.0               0.0
                10.0              5.0
                20.0              5.0
                30.0              5.0
                40.0              5.0
                60.0              5.0
                70.0              5.0
                80.0              5.0
                90.0              5.0
                100.0             5.0
19668           0.0               0.0
                10.0              0.0
                20.0              0.0
                30.0              0.0
                40.0              0.0
                60.0              0.0
                70.0              0.0
                80.0              2.0
                90.0              5.0
                100.0             5.0
21636           0.0               0.0
                10.0              0.0
                20.0              0.0
                30.0              0.0
                40.0              0.0
                60.0              0.0
                70.0              0.0
                80.0              0.0
                90.0              0.0
                100.0             5.0
23604           0.0               0.0
                10.0              0.0
                20.0              0.0
                30.0              0.0
                40.0              0.0
                60.0              0.0
                70.0              0.0
                80.0              0.0
                90.0              0.0
                100.0             5.0
25572           0.0               0.0
                10.0              0.0
                20.0              0.0
                30.0              0.0
                40.0              0.0
                60.0              0.0
                70.0              0.0
                80.0              0.0
                90.0              0.0
                100.0             5.0
27540           0.0               0.0
                10.0              0.0
                20.0              0.0
                30.0              0.0
                40.0              0.0
                60.0              0.0
                70.0              0.0
                80.0              0.0
                90.0              0.0
                100.0             5.0
29508           0.0               0.0
                10.0              0.0
                20.0              0.0
                30.0              0.0
                40.0              0.0
                60.0              0.0
                70.0              0.0
                80.0              0.0
                90.0              0.0
                100.0             5.0
31476           0.0               0.0
                10.0              0.0
                20.0              0.0
                30.0              0.0
                40.0              0.0
                60.0              0.0
                70.0              0.0
                80.0              0.0
                90.0              0.0
                100.0             5.0
