Context Length,Document Depth,Score
25932,0.0,5
25932,10.0,5
25932,20.0,5
25932,30.0,5
25932,40.0,5
25932,60.0,5
25932,70.0,5
25932,80.0,5
25932,90.0,5
25932,100.0,5
27900,0.0,5
27900,10.0,5
27900,20.0,5
27900,30.0,5
27900,40.0,5
27900,60.0,5
27900,70.0,5
27900,80.0,5
27900,90.0,5
27900,100.0,5
29868,0.0,4
29868,10.0,5
29868,20.0,5
29868,30.0,5
29868,40.0,5
29868,60.0,5
29868,70.0,5
29868,80.0,5
29868,90.0,5
29868,100.0,5
31836,0.0,2
31836,10.0,5
31836,20.0,5
31836,30.0,5
31836,40.0,5
31836,60.0,5
31836,70.0,5
31836,80.0,5
31836,90.0,5
31836,100.0,5
33804,0.0,2
33804,10.0,5
33804,20.0,5
33804,30.0,5
33804,40.0,5
33804,60.0,5
33804,70.0,5
33804,80.0,5
33804,90.0,5
33804,100.0,5
35772,0.0,1
35772,10.0,5
35772,20.0,5
35772,30.0,5
35772,40.0,5
35772,60.0,5
35772,70.0,5
35772,80.0,5
35772,90.0,5
35772,100.0,5
