Final Results Summary:
Total Tests Run: 300
Total Tests Passed: 262
Overall Score: 87.33%

Detailed Results by Context Length and Depth:
Context Length  Document Depth
31476           0.0               5.0
                10.0              5.0
                20.0              5.0
                30.0              5.0
                40.0              5.0
                60.0              5.0
                70.0              5.0
                80.0              5.0
                90.0              5.0
                100.0             5.0
33444           0.0               5.0
                10.0              4.0
                20.0              5.0
                30.0              5.0
                40.0              5.0
                60.0              5.0
                70.0              5.0
                80.0              5.0
                90.0              5.0
                100.0             5.0
35412           0.0               3.0
                10.0              4.0
                20.0              2.0
                30.0              4.0
                40.0              5.0
                60.0              5.0
                70.0              5.0
                80.0              5.0
                90.0              5.0
                100.0             5.0
37380           0.0               2.0
                10.0              2.0
                20.0              1.0
                30.0              4.0
                40.0              5.0
                60.0              5.0
                70.0              5.0
                80.0              5.0
                90.0              5.0
                100.0             5.0
39348           0.0               0.0
                10.0              2.0
                20.0              3.0
                30.0              5.0
                40.0              5.0
                60.0              5.0
                70.0              5.0
                80.0              5.0
                90.0              5.0
                100.0             5.0
41316           0.0               1.0
                10.0              2.0
                20.0              3.0
                30.0              5.0
                40.0              5.0
                60.0              5.0
                70.0              5.0
                80.0              5.0
                90.0              5.0
                100.0             5.0
