Context Length,Document Depth,Score
35532,0.0,4
35532,10.0,5
35532,20.0,5
35532,30.0,5
35532,40.0,5
35532,60.0,5
35532,70.0,5
35532,80.0,5
35532,90.0,5
35532,100.0,5
37500,0.0,4
37500,10.0,5
37500,20.0,5
37500,30.0,5
37500,40.0,5
37500,60.0,5
37500,70.0,5
37500,80.0,5
37500,90.0,5
37500,100.0,5
39468,0.0,2
39468,10.0,5
39468,20.0,5
39468,30.0,5
39468,40.0,5
39468,60.0,5
39468,70.0,5
39468,80.0,5
39468,90.0,5
39468,100.0,5
41436,0.0,2
41436,10.0,5
41436,20.0,5
41436,30.0,5
41436,40.0,5
41436,60.0,5
41436,70.0,5
41436,80.0,5
41436,90.0,5
41436,100.0,5
43404,0.0,2
43404,10.0,5
43404,20.0,5
43404,30.0,5
43404,40.0,5
43404,60.0,5
43404,70.0,5
43404,80.0,5
43404,90.0,5
43404,100.0,5
