Context Length,Document Depth,Score
775,0.0,0
774,10.0,2
774,20.0,3
774,30.0,2
774,40.0,3
774,60.0,3
774,70.0,2
774,80.0,2
774,90.0,2
775,100.0,3
1799,0.0,0
1798,10.0,2
1798,20.0,2
1798,30.0,2
1798,40.0,2
1798,60.0,2
1798,70.0,2
1798,80.0,2
1798,90.0,2
1799,100.0,2
2823,0.0,0
2822,10.0,1
2822,20.0,1
2822,30.0,2
2822,40.0,2
2822,60.0,2
2822,70.0,2
2822,80.0,2
2822,90.0,2
2823,100.0,2
3847,0.0,0
3846,10.0,2
3846,20.0,2
3846,30.0,2
3846,40.0,2
3846,60.0,2
3846,70.0,2
3846,80.0,2
3846,90.0,2
3847,100.0,1
4871,0.0,0
4870,10.0,1
4870,20.0,1
4870,30.0,1
4870,40.0,1
4870,60.0,2
4870,70.0,1
4870,80.0,1
4870,90.0,1
4871,100.0,1
5895,0.0,0
5894,10.0,1
5894,20.0,1
5894,30.0,1
5894,40.0,1
5894,60.0,1
5894,70.0,1
5894,80.0,1
5894,90.0,1
5895,100.0,1
6901,0.0,0
6899,10.0,2
6899,20.0,2
6899,30.0,1
6899,40.0,2
6899,60.0,2
6899,70.0,1
6899,80.0,2
6899,90.0,2
6901,100.0,1
7885,0.0,0
7883,10.0,0
7883,20.0,1
7883,30.0,2
7883,40.0,2
7883,60.0,1
7883,70.0,2
7883,80.0,2
7883,90.0,2
7885,100.0,1
8869,0.0,0
8867,10.0,1
8867,20.0,1
8867,30.0,1
8867,40.0,1
8867,60.0,2
8867,70.0,2
8867,80.0,2
8867,90.0,2
8869,100.0,1
9853,0.0,0
9851,10.0,0
9851,20.0,1
9851,30.0,1
9851,40.0,1
9851,60.0,2
9851,70.0,1
9851,80.0,1
9851,90.0,2
9853,100.0,0
10837,0.0,0
10835,10.0,0
10835,20.0,0
10835,30.0,1
10835,40.0,1
10835,60.0,1
10835,70.0,1
10835,80.0,1
10835,90.0,1
10837,100.0,0
11821,0.0,0
11819,10.0,0
11819,20.0,0
11819,30.0,0
11819,40.0,0
11819,60.0,1
11819,70.0,1
11819,80.0,1
11819,90.0,1
11821,100.0,0
12805,0.0,0
12803,10.0,0
12803,20.0,0
12803,30.0,0
12803,40.0,0
12803,60.0,1
12803,70.0,1
12803,80.0,1
12803,90.0,1
12805,100.0,0
13789,0.0,0
13787,10.0,0
13787,20.0,0
13787,30.0,0
13787,40.0,1
13787,60.0,0
13787,70.0,1
13787,80.0,1
13787,90.0,1
13789,100.0,0
14773,0.0,0
14771,10.0,0
14771,20.0,0
14771,30.0,0
14771,40.0,1
14771,60.0,1
14771,70.0,1
14771,80.0,1
14771,90.0,0
14773,100.0,0
15757,0.0,0
15755,10.0,0
15755,20.0,0
15755,30.0,0
15755,40.0,0
15755,60.0,0
15755,70.0,0
15755,80.0,0
15755,90.0,0
15757,100.0,0
16741,0.0,0
16739,10.0,0
16739,20.0,0
16739,30.0,0
16739,40.0,0
16739,60.0,0
16739,70.0,0
16739,80.0,1
16739,90.0,0
16741,100.0,0
17725,0.0,0
17723,10.0,0
17723,20.0,0
17723,30.0,0
17723,40.0,0
17723,60.0,0
17723,70.0,0
17723,80.0,1
17723,90.0,0
17725,100.0,0
18685,0.0,0
18683,10.0,0
18683,20.0,0
18683,30.0,0
18683,40.0,0
18683,60.0,0
18683,70.0,0
18683,80.0,0
18683,90.0,0
18685,100.0,0
19669,0.0,0
19667,10.0,0
19667,20.0,0
19667,30.0,0
19667,40.0,0
19667,60.0,0
19667,70.0,0
19667,80.0,0
19667,90.0,0
19669,100.0,0
20653,0.0,0
20651,10.0,0
20651,20.0,0
20651,30.0,0
20651,40.0,0
20651,60.0,0
20651,70.0,0
20651,80.0,0
20651,90.0,1
20653,100.0,0
21637,0.0,0
21635,10.0,0
21635,20.0,0
21635,30.0,0
21635,40.0,0
21635,60.0,0
21635,70.0,0
21635,80.0,0
21635,90.0,0
21637,100.0,0
22621,0.0,0
22619,10.0,0
22619,20.0,0
22619,30.0,0
22619,40.0,0
22619,60.0,0
22619,70.0,0
22619,80.0,0
22619,90.0,0
22621,100.0,0
23605,0.0,0
23603,10.0,0
23603,20.0,0
23603,30.0,0
23603,40.0,0
23603,60.0,0
23603,70.0,0
23603,80.0,0
23603,90.0,0
23605,100.0,0
24589,0.0,0
24587,10.0,0
24587,20.0,0
24587,30.0,0
24587,40.0,0
24587,60.0,0
24587,70.0,0
24587,80.0,0
24587,90.0,0
24589,100.0,0
25573,0.0,0
25571,10.0,0
25571,20.0,0
25571,30.0,0
25571,40.0,0
25571,60.0,0
25571,70.0,0
25571,80.0,0
25571,90.0,0
25573,100.0,0
26557,0.0,0
26555,10.0,0
26555,20.0,0
26555,30.0,0
26555,40.0,0
26555,60.0,0
26555,70.0,0
26555,80.0,0
26555,90.0,0
26557,100.0,0
27541,0.0,0
27539,10.0,0
27539,20.0,0
27539,30.0,0
27539,40.0,0
27539,60.0,0
27539,70.0,0
27539,80.0,0
27539,90.0,0
27541,100.0,0
28525,0.0,0
28523,10.0,0
28523,20.0,0
28523,30.0,0
28523,40.0,0
28523,60.0,0
28523,70.0,0
28523,80.0,0
28523,90.0,0
28525,100.0,0
29509,0.0,0
29507,10.0,0
29507,20.0,0
29507,30.0,0
29507,40.0,0
29507,60.0,0
29507,70.0,0
29507,80.0,0
29507,90.0,0
29509,100.0,0
30493,0.0,0
30491,10.0,0
30491,20.0,0
30491,30.0,0
30491,40.0,0
30491,60.0,0
30491,70.0,0
30491,80.0,0
30491,90.0,0
30493,100.0,0
31477,0.0,0
31475,10.0,0
31475,20.0,0
31475,30.0,0
31475,40.0,0
31475,60.0,0
31475,70.0,0
31475,80.0,0
31475,90.0,0
31477,100.0,0
32461,0.0,0
32459,10.0,0
32459,20.0,0
32459,30.0,0
32459,40.0,0
32459,60.0,0
32459,70.0,0
32459,80.0,0
32459,90.0,0
32461,100.0,0
33445,0.0,0
33443,10.0,0
33443,20.0,0
33443,30.0,0
33443,40.0,0
33443,60.0,0
33443,70.0,0
33443,80.0,0
33443,90.0,0
33445,100.0,0
34429,0.0,0
34427,10.0,0
34427,20.0,0
34427,30.0,0
34427,40.0,0
34427,60.0,0
34427,70.0,0
34427,80.0,0
34427,90.0,0
34429,100.0,0
35413,0.0,0
35411,10.0,0
35411,20.0,0
35411,30.0,0
35411,40.0,0
35411,60.0,0
35411,70.0,0
35411,80.0,0
35411,90.0,0
35413,100.0,0
36397,0.0,0
36395,10.0,0
36395,20.0,0
36395,30.0,0
36395,40.0,0
36395,60.0,0
36395,70.0,0
36395,80.0,0
36395,90.0,0
36397,100.0,0
37381,0.0,0
37379,10.0,0
37379,20.0,0
37379,30.0,0
37379,40.0,0
37379,60.0,0
37379,70.0,0
37379,80.0,0
37379,90.0,0
37381,100.0,0
38365,0.0,0
38363,10.0,0
38363,20.0,0
38363,30.0,0
38363,40.0,0
38363,60.0,0
38363,70.0,0
38363,80.0,0
38363,90.0,0
38365,100.0,0
39349,0.0,0
39347,10.0,0
39347,20.0,0
39347,30.0,0
39347,40.0,0
39347,60.0,0
39347,70.0,0
39347,80.0,0
39347,90.0,0
39349,100.0,0
40333,0.0,0
40331,10.0,0
40331,20.0,0
40331,30.0,0
40331,40.0,0
40331,60.0,0
40331,70.0,0
40331,80.0,0
40331,90.0,0
40333,100.0,0
41317,0.0,0
41315,10.0,0
41315,20.0,0
41315,30.0,0
41315,40.0,0
41315,60.0,0
41315,70.0,0
41315,80.0,0
41315,90.0,0
41317,100.0,0
42301,0.0,0
42299,10.0,0
42299,20.0,0
42299,30.0,0
42299,40.0,0
42299,60.0,0
42299,70.0,0
42299,80.0,0
42299,90.0,0
42301,100.0,0
43261,0.0,0
43259,10.0,0
43259,20.0,0
43259,30.0,0
43259,40.0,0
43259,60.0,0
43259,70.0,0
43259,80.0,0
43259,90.0,0
43261,100.0,0
44245,0.0,0
44243,10.0,0
44243,20.0,0
44243,30.0,0
44243,40.0,0
44243,60.0,0
44243,70.0,0
44243,80.0,0
44243,90.0,0
44245,100.0,0
45229,0.0,0
45227,10.0,0
45227,20.0,0
45227,30.0,0
45227,40.0,0
45227,60.0,0
45227,70.0,0
45227,80.0,0
45227,90.0,0
45229,100.0,0
46213,0.0,0
46211,10.0,0
46211,20.0,0
46211,30.0,0
46211,40.0,0
46211,60.0,0
46211,70.0,0
46211,80.0,0
46211,90.0,0
46213,100.0,0
47197,0.0,0
47195,10.0,0
47195,20.0,0
47195,30.0,0
47195,40.0,0
47195,60.0,0
47195,70.0,0
47195,80.0,0
47195,90.0,0
47197,100.0,0
48181,0.0,0
48179,10.0,0
48179,20.0,0
48179,30.0,0
48179,40.0,0
48179,60.0,0
48179,70.0,0
48179,80.0,0
48179,90.0,0
48181,100.0,0
49165,0.0,0
49163,10.0,0
49163,20.0,0
49163,30.0,0
49163,40.0,0
49163,60.0,0
49163,70.0,0
49163,80.0,0
49163,90.0,0
49165,100.0,0
50149,0.0,0
50147,10.0,0
50147,20.0,0
50147,30.0,0
50147,40.0,0
50147,60.0,0
50147,70.0,0
50147,80.0,0
50147,90.0,0
50149,100.0,0
51133,0.0,0
51131,10.0,0
51131,20.0,0
51131,30.0,0
51131,40.0,0
51131,60.0,0
51131,70.0,0
51131,80.0,0
51131,90.0,0
51133,100.0,0
52117,0.0,0
52115,10.0,0
52115,20.0,0
52115,30.0,0
52115,40.0,0
52115,60.0,0
52115,70.0,0
52115,80.0,0
52115,90.0,0
52117,100.0,0
53101,0.0,0
53099,10.0,0
53099,20.0,0
53099,30.0,0
53099,40.0,0
53099,60.0,0
53099,70.0,0
53099,80.0,0
53099,90.0,0
53101,100.0,0
54085,0.0,0
54083,10.0,0
54083,20.0,0
54083,30.0,0
54083,40.0,0
54083,60.0,0
54083,70.0,0
54083,80.0,0
54083,90.0,0
54085,100.0,0
55069,0.0,0
55067,10.0,0
55067,20.0,0
55067,30.0,0
55067,40.0,0
55067,60.0,0
55067,70.0,0
55067,80.0,0
55067,90.0,0
55069,100.0,0
56053,0.0,0
56051,10.0,0
56051,20.0,0
56051,30.0,0
56051,40.0,0
56051,60.0,0
56051,70.0,0
56051,80.0,0
56051,90.0,0
56053,100.0,0
57037,0.0,0
57035,10.0,0
57035,20.0,0
57035,30.0,0
57035,40.0,0
57035,60.0,0
57035,70.0,0
57035,80.0,0
57035,90.0,0
57037,100.0,0
58021,0.0,0
58019,10.0,0
58019,20.0,0
58019,30.0,0
58019,40.0,0
58019,60.0,0
58019,70.0,0
58019,80.0,0
58019,90.0,0
58021,100.0,0
59005,0.0,0
59003,10.0,0
59003,20.0,0
59003,30.0,0
59003,40.0,0
59003,60.0,0
59003,70.0,0
59003,80.0,0
59003,90.0,0
59005,100.0,0
59989,0.0,0
59987,10.0,0
59987,20.0,0
59987,30.0,0
59987,40.0,0
59987,60.0,0
59987,70.0,0
59987,80.0,0
59987,90.0,0
59989,100.0,0
60973,0.0,0
60971,10.0,0
60971,20.0,0
60971,30.0,0
60971,40.0,0
60971,60.0,0
60971,70.0,0
60971,80.0,0
60971,90.0,0
60973,100.0,0
61957,0.0,0
61955,10.0,0
61955,20.0,0
61955,30.0,0
61955,40.0,0
61955,60.0,0
61955,70.0,0
61955,80.0,0
61955,90.0,0
61957,100.0,0
62941,0.0,0
62939,10.0,0
62939,20.0,0
62939,30.0,0
62939,40.0,0
62939,60.0,0
62939,70.0,0
62939,80.0,0
62939,90.0,0
62941,100.0,0
