,Context Length,Document Depth,Score
0,2056,0.0,5
1,2056,10.0,5
2,2056,20.0,5
3,2056,30.0,5
4,2056,40.0,5
5,2056,50.0,5
6,2056,60.0,5
7,2056,70.0,5
8,2056,80.0,5
9,2056,90.0,5
10,2056,100.0,5
11,4046,0.0,5
12,4046,10.0,5
13,4046,20.0,5
14,4046,30.0,5
15,4046,40.0,5
16,4046,50.0,5
17,4046,60.0,5
18,4046,70.0,5
19,4046,80.0,5
20,4046,90.0,5
21,4046,100.0,5
22,6037,0.0,5
23,6037,10.0,5
24,6037,20.0,5
25,6037,30.0,5
26,6037,40.0,5
27,6037,50.0,5
28,6037,60.0,5
29,6037,70.0,5
30,6037,80.0,5
31,6037,90.0,5
32,6037,100.0,5
33,8313,0.0,5
34,8313,10.0,5
35,8313,20.0,5
36,8313,30.0,5
37,8313,40.0,5
38,8313,50.0,5
39,8313,60.0,5
40,8313,70.0,5
41,8313,80.0,5
42,8313,90.0,5
43,8313,100.0,5
44,10303,0.0,5
45,10303,10.0,5
46,10303,20.0,5
47,10303,30.0,5
48,10303,40.0,5
49,10303,50.0,5
50,10303,60.0,5
51,10303,70.0,5
52,10303,80.0,5
53,10303,90.0,5
54,10303,100.0,5
55,12295,0.0,5
56,12295,10.0,5
57,12295,20.0,5
58,12295,30.0,5
59,12295,40.0,5
60,12295,50.0,5
61,12295,60.0,5
62,12295,70.0,5
63,12295,80.0,5
64,12295,90.0,5
65,12295,100.0,5
66,14570,0.0,5
67,14570,10.0,5
68,14570,20.0,5
69,14570,30.0,5
70,14570,40.0,5
71,14570,50.0,5
72,14570,60.0,5
73,14570,70.0,5
74,14570,80.0,5
75,14570,90.0,5
76,14570,100.0,5
77,16561,0.0,5
78,16561,10.0,5
79,16561,20.0,5
80,16561,30.0,5
81,16561,40.0,5
82,16561,50.0,5
83,16561,60.0,5
84,16561,70.0,5
85,16561,80.0,5
86,16561,90.0,5
87,16561,100.0,5
88,18552,0.0,5
89,18552,10.0,5
90,18552,20.0,5
91,18552,30.0,5
92,18552,40.0,5
93,18552,50.0,5
94,18552,60.0,5
95,18552,70.0,5
96,18552,80.0,5
97,18552,90.0,5
98,18552,100.0,5
99,20828,0.0,5
100,20828,10.0,5
101,20828,20.0,5
102,20828,30.0,5
103,20828,40.0,5
104,20828,50.0,5
105,20828,60.0,5
106,20828,70.0,5
107,20828,80.0,5
108,20828,90.0,5
109,20828,100.0,5
110,22819,0.0,5
111,22819,10.0,5
112,22819,20.0,5
113,22819,30.0,5
114,22819,40.0,5
115,22819,50.0,5
116,22819,60.0,5
117,22819,70.0,5
118,22819,80.0,5
119,22819,90.0,5
120,22819,100.0,5
121,24810,0.0,5
122,24810,10.0,5
123,24810,20.0,5
124,24810,30.0,5
125,24810,40.0,5
126,24810,50.0,5
127,24810,60.0,5
128,24810,70.0,5
129,24810,80.0,5
130,24810,90.0,5
131,24810,100.0,5
132,27086,0.0,5
133,27086,10.0,5
134,27086,20.0,5
135,27086,30.0,5
136,27086,40.0,5
137,27086,50.0,5
138,27086,60.0,5
139,27086,70.0,5
140,27086,80.0,5
141,27086,90.0,5
142,27086,100.0,5
143,29078,0.0,5
144,29078,10.0,5
145,29078,20.0,5
146,29078,30.0,5
147,29078,40.0,5
148,29078,50.0,5
149,29078,60.0,5
150,29078,70.0,5
151,29078,80.0,5
152,29078,90.0,5
153,29078,100.0,5
154,31068,0.0,5
155,31068,10.0,5
156,31068,20.0,5
157,31068,30.0,5
158,31068,40.0,5
159,31068,50.0,5
160,31068,60.0,5
161,31068,70.0,5
162,31068,80.0,5
163,31068,90.0,5
164,31068,100.0,5
165,33344,0.0,5
166,33344,10.0,5
167,33344,20.0,5
168,33344,30.0,5
169,33344,40.0,5
170,33344,50.0,5
171,33344,60.0,4
172,33344,70.0,1
173,33344,80.0,5
174,33344,90.0,5
175,33344,100.0,5
