,Context Length,Document Depth,Score
0,1977,0.0,5
1,1977,10.0,5
2,1977,20.0,5
3,1977,30.0,5
4,1977,40.0,5
5,1977,50.0,5
6,1977,60.0,5
7,1977,70.0,5
8,1977,80.0,5
9,1977,90.0,5
10,1977,100.0,5
11,3887,0.0,5
12,3887,10.0,5
13,3887,20.0,5
14,3887,30.0,5
15,3887,40.0,5
16,3887,50.0,5
17,3887,60.0,5
18,3887,70.0,5
19,3887,80.0,5
20,3887,90.0,5
21,3887,100.0,5
22,5799,0.0,5
23,5799,10.0,5
24,5799,20.0,5
25,5799,30.0,5
26,5799,40.0,5
27,5799,50.0,5
28,5799,60.0,5
29,5799,70.0,5
30,5799,80.0,5
31,5799,90.0,5
32,5799,100.0,5
33,7984,0.0,5
34,7984,10.0,5
35,7984,20.0,5
36,7984,30.0,5
37,7984,40.0,5
38,7984,50.0,5
39,7984,60.0,5
40,7984,70.0,5
41,7984,80.0,5
42,7984,90.0,5
43,7984,100.0,5
44,9894,0.0,5
45,9894,10.0,5
46,9894,20.0,5
47,9894,30.0,5
48,9894,40.0,5
49,9894,50.0,5
50,9894,60.0,5
51,9894,70.0,5
52,9894,80.0,5
53,9894,90.0,5
54,9894,100.0,5
55,11807,0.0,5
56,11807,10.0,5
57,11807,20.0,5
58,11807,30.0,5
59,11807,40.0,5
60,11807,50.0,5
61,11807,60.0,5
62,11807,70.0,5
63,11807,80.0,5
64,11807,90.0,5
65,11807,100.0,5
66,13991,0.0,5
67,13991,10.0,5
68,13991,20.0,4
69,13991,30.0,4
70,13991,40.0,4
71,13991,50.0,5
72,13991,60.0,5
73,13991,70.0,5
74,13991,80.0,5
75,13991,90.0,5
76,13991,100.0,5
77,15902,0.0,5
78,15902,10.0,5
79,15902,20.0,4
80,15902,30.0,3
81,15902,40.0,4
82,15902,50.0,5
83,15902,60.0,5
84,15902,70.0,5
85,15902,80.0,5
86,15902,90.0,5
87,15902,100.0,5
88,17814,0.0,0
89,17814,10.0,0
90,17814,20.0,0
91,17814,30.0,1
92,17814,40.0,0
93,17814,50.0,5
94,17814,60.0,5
95,17814,70.0,5
96,17814,80.0,5
97,17814,90.0,5
98,17814,100.0,5
99,19999,0.0,0
100,19999,10.0,0
101,19999,20.0,0
102,19999,30.0,0
103,19999,40.0,0
104,19999,50.0,0
105,19999,60.0,5
106,19999,70.0,5
107,19999,80.0,5
108,19999,90.0,3
109,19999,100.0,5
110,21910,0.0,0
111,21910,10.0,0
112,21910,20.0,0
113,21910,30.0,0
114,21910,40.0,0
115,21910,50.0,0
116,21910,60.0,0
117,21910,70.0,0
118,21910,80.0,0
119,21910,90.0,4
120,21910,100.0,1
121,23822,0.0,0
122,23822,10.0,0
123,23822,20.0,0
124,23822,30.0,0
125,23822,40.0,0
126,23822,50.0,0
127,23822,60.0,0
128,23822,70.0,0
129,23822,80.0,0
130,23822,90.0,5
131,23822,100.0,0
132,26006,0.0,0
133,26006,10.0,0
134,26006,20.0,0
135,26006,30.0,0
136,26006,40.0,0
137,26006,50.0,0
138,26006,60.0,0
139,26006,70.0,0
140,26006,80.0,0
141,26006,90.0,3
142,26006,100.0,0
143,27918,0.0,0
144,27918,10.0,0
145,27918,20.0,0
146,27918,30.0,0
147,27918,40.0,0
148,27918,50.0,0
149,27918,60.0,0
150,27918,70.0,0
151,27918,80.0,0
152,27918,90.0,0
153,27918,100.0,0
154,29829,0.0,0
155,29829,10.0,0
156,29829,20.0,0
157,29829,30.0,0
158,29829,40.0,0
159,29829,50.0,0
160,29829,60.0,0
161,29829,70.0,0
162,29829,80.0,0
163,29829,90.0,0
164,29829,100.0,0
165,32014,0.0,0
166,32014,10.0,0
167,32014,20.0,0
168,32014,30.0,0
169,32014,40.0,0
170,32014,50.0,0
171,32014,60.0,0
172,32014,70.0,0
173,32014,80.0,0
174,32014,90.0,0
175,32014,100.0,0
